"","PID","crt","mean_honesty_rating","lie_detect_dprime","lie_prop","age","gender","ed_lev","(Intercept)","normed_signed_e_v","normed_unsigned_e_v","subject_liedTRUE","subject_lostTRUE"
"98","612dfc96edf9f3ca2f8b4a2b",4,2.81111111111111,0.211098734685982,0.0333333333333333,23,1,2,0,0.454689125147274,0.445701848315834,0.130351837668955,-0.172445531338463
"99","613b32939b3eb8c220cae699",4,2.21111111111111,0.12112026700154,0.444444444444444,33,1,5,0,0.417418480186742,0.294070462835952,0.0322189579768265,-0.00875042582260603
"100","613f0ce7ced87b6731521401",1,2.58888888888889,0.123994744112747,0.522222222222222,42,1,5,0,0.154550443466375,0.417455844179415,0.0260386476688972,0.104983350734424
"101","61483ba9c6b1d5a437b710bd",3,3.77777777777778,0.0694309155692276,0,18,1,2,0,0.10833778810255,0.306572405565472,NA,0.253202933147288
"102","6148963657c7defa3b41ab0d",3,2.91111111111111,0.0909831306965805,0.455555555555556,34,0,3,0,0.467581752260165,0.185704254455569,-0.0306434044785679,-0.0894112114808766
"103","6148c83dffddab3a6029cd02",2,3.11111111111111,0.106541883322052,0.111111111111111,24,1,9,0,0.286226123115118,0.407298391745445,0.00684381171946514,-0.0472169176695917
"104","614fba422d976319a6ea9f3a",4,3.73333333333333,0.0788317556169772,0,25,0,5,0,0.36753963457589,0.248394859478896,NA,0.0731963312215946
"105","615c6201071061e3d0cae2ca",1,2.24444444444444,0.0758681057349624,0,30,1,5,0,0.425215892561102,0.164025020016463,NA,0.0538644266934614
"106","615e02c66e34e02bdbb8a822",4,2.85555555555556,0.130363367743118,0.0333333333333333,25,1,5,0,0.292086210008054,0.530835608526583,0.000533707843772696,-0.109264827585544
"107","61644ca41793dcbb44e63410",1,2.97777777777778,0.0988066838905198,0.566666666666667,37,0,1,0,0.21933173097455,0.46399054468582,-0.0269009109453387,NA
"108","616f3f3891673de92aee1078",3,2.48888888888889,0.118214441255339,0.255555555555556,18,1,3,0,0.313872643123159,0.335490849707051,0.111945302611678,0.010684578407643
